Material_ID;Category;Range;Nature;Sub_Brand;Franchise;Fonction;Status;Saisonnalite;Date_de_Fin_De_Vie_EUROPE;Date_de_Fin_De_Vie_ASIA;Date_de_Lancement_WW
Material_ID_18;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;PRIOR;01/02/2024;;
Material_ID_19;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP16;01/02/2024;;01/02/2016
Material_ID_20;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;PRIOR;01/02/2024;;
Material_ID_21;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_11;LIQUID;ACTIVE;PRIOR;;;
Material_ID_22;MAKE UP;Range_8;Nature_9;Sub_Brand_10;Franchise_12;CONCEALER;;;;;
Material_ID_23;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_6;CRAYON;ACTIVE;PRIOR;01/02/2023;;01/07/2012
Material_ID_24;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_6;CRAYON;ACTIVE;PRIOR;01/02/2023;;01/07/2012
Material_ID_25;MAKE UP;Range_9;Nature_10;Sub_Brand_11;Franchise_13;NAIL CARE;ACTIVE;PRIOR;01/02/2024;;
Material_ID_26;ACCESSORIES;Range_10;Nature_11;Sub_Brand_12;Franchise_14;HAIR TOOLS;;;;;
Material_ID_27;SKINCARE;Range_3;Nature_3;Sub_Brand_3;Franchise_3;BATH;;;;;
Material_ID_28;MAKE UP;Range_8;Nature_12;Sub_Brand_13;Franchise_15;PRESSED POWDER;ACTIVE;PRIOR;01/02/2024;;01/07/2012
Material_ID_29;MAKE UP;Range_8;Nature_12;Sub_Brand_13;Franchise_15;PRESSED POWDER;ACTIVE;PRIOR;01/02/2024;;01/07/2012
Material_ID_30;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUMBIS14;01/09/2023;;01/06/2014
Material_ID_31;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_17;LIPSTICK;;;;;
Material_ID_32;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_17;LIPSTICK;;;;;
Material_ID_33;MAKE UP;Range_8;Nature_12;Sub_Brand_13;Franchise_15;PRESSED POWDER;ACTIVE;PRIOR;01/02/2024;;01/07/2012
Material_ID_34;MAKE UP;Range_8;Nature_12;Sub_Brand_13;Franchise_15;PRESSED POWDER;ACTIVE;PRIOR;01/02/2024;;01/07/2012
Material_ID_35;SKINCARE;Range_3;Nature_3;Sub_Brand_3;Franchise_3;BATH;;;;;
Material_ID_36;MAKE UP;Range_8;Nature_12;Sub_Brand_13;Franchise_15;PRESSED POWDER;ACTIVE;PRIOR;01/02/2024;;01/07/2012
Material_ID_37;MAKE UP;Range_8;Nature_12;Sub_Brand_13;Franchise_15;PRESSED POWDER;ACTIVE;PRIOR;01/02/2024;;01/07/2012
Material_ID_38;MAKE UP;Range_8;Nature_12;Sub_Brand_13;Franchise_15;PRESSED POWDER;ACTIVE;PRIOR;01/02/2024;;01/07/2012
Material_ID_39;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;;;;;
Material_ID_40;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;PRIOR;01/09/2023;;01/07/2013
Material_ID_41;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUMBIS14;01/09/2023;;01/06/2014
Material_ID_42;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;;;;;
Material_ID_43;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;;;;;
Material_ID_44;MAKE UP;Range_8;Nature_12;Sub_Brand_13;Franchise_15;PRESSED POWDER;ACTIVE;PRIOR;01/02/2024;;01/07/2012
Material_ID_45;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;PRIOR;01/09/2023;;01/07/2013
Material_ID_46;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUMBIS14;01/09/2023;;01/06/2014
Material_ID_47;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUMBIS14;01/09/2023;;01/06/2014
Material_ID_48;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;PRIOR;01/09/2023;;01/07/2013
Material_ID_49;SKINCARE;Range_3;Nature_3;Sub_Brand_3;Franchise_3;BATH;OTHER;;;;
Material_ID_50;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUMBIS14;01/09/2023;;01/06/2014
Material_ID_51;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUMBIS14;01/09/2023;;01/06/2014
Material_ID_52;MAKE UP;Range_11;Nature_13;Sub_Brand_14;Franchise_18;FASHION;;;;;
Material_ID_53;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_19;CRAYON;;;;;
Material_ID_54;MAKE UP;Range_6;Nature_14;Sub_Brand_15;Franchise_20;LIP LINER;ACTIVE;PRIOR;;;01/07/2013
Material_ID_55;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_21;MAKE UP BRUSH SINGLE;;;;;
Material_ID_56;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_8;LIPSTICK;;;;;
Material_ID_57;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_8;LIPSTICK;;;;;
Material_ID_58;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_59;MAKE UP;Range_8;Nature_15;Sub_Brand_16;Franchise_23;PRIMER;ACTIVE;SUMBIS14;01/04/2023;01/06/2023;01/07/2014
Material_ID_60;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUM14;01/09/2023;;01/04/2014
Material_ID_61;MAKE UP;Range_6;Nature_14;Sub_Brand_15;Franchise_24;LIP LINER;ACTIVE;SUM15;;;06/04/2015
Material_ID_62;MAKE UP;Range_11;Nature_13;Sub_Brand_14;Franchise_25;FASHION;;;;;
Material_ID_63;MAKE UP;Range_1;Nature_1;Sub_Brand_17;Franchise_26;FELT LINER;;;;;
Material_ID_64;ACCESSORIES;Range_7;Nature_8;Sub_Brand_8;Franchise_27;MANICURE;;;;;
Material_ID_65;ACCESSORIES;Range_2;Nature_2;Sub_Brand_2;Franchise_28;SKINCARE ACCESSORIES;;;;;
Material_ID_66;MAKE UP;Range_6;Nature_14;Sub_Brand_15;Franchise_24;LIP LINER;ACTIVE;SUM15;;;06/04/2015
Material_ID_67;ACCESSORIES;Range_7;Nature_8;Sub_Brand_18;Franchise_29;TWEEZERS;;;;;
Material_ID_68;MAKE UP;Range_6;Nature_14;Sub_Brand_15;Franchise_24;LIP LINER;ACTIVE;SUM15;;;06/04/2015
Material_ID_69;MAKE UP;Range_1;Nature_16;Sub_Brand_19;Franchise_30;NON WATERPROOF;;;;;
Material_ID_70;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;;;;;
Material_ID_71;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_32;CRAYON;;;;;
Material_ID_72;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_33;POLISH;;;;;
Material_ID_73;SKINCARE;Range_3;Nature_3;Sub_Brand_3;Franchise_3;BATH;;;;;
Material_ID_74;MAKE UP;Range_9;Nature_10;Sub_Brand_11;Franchise_34;NAIL CARE;ACTIVE;FALL15;01/02/2024;;01/09/2015
Material_ID_75;SKINCARE;Range_12;Nature_19;Sub_Brand_22;Franchise_35;FIBER MASKS;;;;;
Material_ID_76;MAKE UP;Range_9;Nature_10;Sub_Brand_11;Franchise_36;NAIL CARE;;;;;
Material_ID_77;ACCESSORIES;Range_10;Nature_11;Sub_Brand_12;Franchise_37;HAIR TOOLS;;;;;
Material_ID_78;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;;;;;
Material_ID_79;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUM15;01/09/2023;;01/04/2015
Material_ID_80;ACCESSORIES;Range_5;Nature_5;Sub_Brand_5;Franchise_38;POUCHES;;;;;
Material_ID_81;MAKE UP;Range_9;Nature_20;Sub_Brand_23;Franchise_39;REMOVERS;ACTIVE;SUM16;01/02/2024;;01/03/2016
Material_ID_82;ACCESSORIES;Range_7;Nature_8;Sub_Brand_8;Franchise_40;MANICURE;;;;;
Material_ID_83;SKINCARE;Range_12;Nature_21;Sub_Brand_24;Franchise_41;REMOVERS;ACTIVE;SUM16;;;01/03/2016
Material_ID_84;MAKE UP;Range_9;Nature_20;Sub_Brand_23;Franchise_42;REMOVERS;ACTIVE;SUM16;01/02/2024;;01/03/2016
Material_ID_85;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_43;LIPSTICK;;;;;
Material_ID_86;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_44;LIQUID;;;;;
Material_ID_87;MAKE UP;Range_8;Nature_22;Sub_Brand_25;Franchise_45;LIQUID FOUNDATION;;;;;
Material_ID_88;MAKE UP;Range_9;Nature_10;Sub_Brand_11;Franchise_46;NAIL CARE;ACTIVE;SP16;01/02/2024;;15/01/2016
Material_ID_89;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_8;LIPSTICK;;;;;
Material_ID_90;MAKE UP;Range_8;Nature_22;Sub_Brand_25;Franchise_45;LIQUID FOUNDATION;;;;;
Material_ID_91;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_92;SKINCARE;Range_12;Nature_21;Sub_Brand_24;Franchise_47;EXFOLIATORS;;;;;
Material_ID_93;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUM16;01/09/2023;;01/04/2016
Material_ID_94;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_95;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SP16;01/09/2023;;01/02/2016
Material_ID_96;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_97;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_98;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_99;ACCESSORIES;Range_10;Nature_11;Sub_Brand_26;Franchise_48;HAIR TOOLS;;;;;
Material_ID_100;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_101;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_102;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_103;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SUM16;01/09/2023;;01/04/2016
Material_ID_104;MAKE UP;Range_1;Nature_16;Sub_Brand_19;Franchise_49;NON WATERPROOF;;;;;
Material_ID_105;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_16;MAKE UP BRUSH SINGLE;ACTIVE;SP16;01/09/2023;;01/02/2016
Material_ID_106;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_107;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_50;CRAYON;SPECIFIC;FALL16;;;24/08/2016
Material_ID_108;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_109;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_110;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_111;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_112;MAKE UP;Range_1;Nature_16;Sub_Brand_19;Franchise_51;NON WATERPROOF;;;;;
Material_ID_113;MAKE UP;Range_1;Nature_17;Sub_Brand_27;Franchise_52;STICK;;;;;
Material_ID_114;MAKE UP;Range_13;Nature_23;Sub_Brand_28;Franchise_53;XMAS;;;;;
Material_ID_115;MAKE UP;Range_1;Nature_1;Sub_Brand_1;Franchise_50;CRAYON;SPECIFIC;FALL16;;;24/08/2016
Material_ID_116;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_117;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_118;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_119;MAKE UP;Range_6;Nature_7;Sub_Brand_7;Franchise_9;LIQUID LIPSTICK;ACTIVE;SP17;01/02/2024;;01/02/2017
Material_ID_120;ACCESSORIES;Range_4;Nature_24;Sub_Brand_29;Franchise_54;BRUSH CLEANERS;ACTIVE;SUMBIS18;01/02/2023;01/04/2023;01/06/2018
Material_ID_121;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_55;GLOSS;;;;;
Material_ID_122;MAKE UP;Range_1;Nature_17;Sub_Brand_27;Franchise_52;STICK;;;;;
Material_ID_123;ACCESSORIES;Range_4;Nature_24;Sub_Brand_29;Franchise_56;BRUSH CLEANERS;ACTIVE;FALL16;01/02/2023;01/02/2023;24/08/2016
Material_ID_124;SKINCARE;Range_12;Nature_19;Sub_Brand_31;Franchise_57;OTHERS;;;;;
Material_ID_125;MAKE UP;Range_1;Nature_26;Sub_Brand_32;Franchise_58;MEDIUM PALETTE;;;;;
Material_ID_126;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_127;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_55;GLOSS;;;;;
Material_ID_128;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_59;GLOSS;;;;;
Material_ID_129;MAKE UP;Range_1;Nature_17;Sub_Brand_27;Franchise_52;STICK;;;;;
Material_ID_130;ACCESSORIES;Range_4;Nature_4;Sub_Brand_4;Franchise_60;MAKE UP BRUSH SINGLE;ACTIVE;SP18;01/02/2024;;01/02/2018
Material_ID_131;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_17;LIPSTICK;;;;;
Material_ID_132;SKINCARE;Range_12;Nature_21;Sub_Brand_33;Franchise_61;BODY MOISTURIZERS;;;;;
Material_ID_133;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_62;LIPSTICK;;;;;
Material_ID_134;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_59;GLOSS;;;;;
Material_ID_135;MAKE UP;Range_8;Nature_15;Sub_Brand_16;Franchise_63;PRIMER;ACTIVE;SP17;01/02/2024;01/06/2023;01/02/2017
Material_ID_136;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_55;GLOSS;;;;;
Material_ID_137;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_55;GLOSS;;;;;
Material_ID_138;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_55;GLOSS;;;;;
Material_ID_139;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_64;LIPSTICK;;;;;
Material_ID_140;MAKE UP;Range_9;Nature_10;Sub_Brand_11;Franchise_65;NAIL CARE;ACTIVE;SUM17;01/09/2022;;01/04/2017
Material_ID_141;ACCESSORIES;Range_5;Nature_5;Sub_Brand_5;Franchise_66;POUCHES;;;;;
Material_ID_142;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_55;GLOSS;;;;;
Material_ID_143;MAKE UP;Range_6;Nature_25;Sub_Brand_30;Franchise_59;GLOSS;;;;;
Material_ID_144;MAKE UP;Range_1;Nature_1;Sub_Brand_9;Franchise_22;LIQUID;;;;;
Material_ID_145;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_8;LIPSTICK;;;;;
Material_ID_146;MAKE UP;Range_8;Nature_27;Sub_Brand_34;Franchise_67;BLUSH;;;;;
Material_ID_147;SKINCARE;Range_12;Nature_19;Sub_Brand_35;Franchise_68;MOISTURIZERS;;;;;
Material_ID_148;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_69;LIPSTICK;ACTIVE;SP18;01/02/2023;;01/02/2018
Material_ID_149;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_69;LIPSTICK;ACTIVE;SP18;01/02/2023;;01/02/2018
Material_ID_150;SKINCARE;Range_12;Nature_19;Sub_Brand_22;Franchise_70;OTHER MASKS;;;;;
Material_ID_151;ACCESSORIES;Range_4;Nature_28;Sub_Brand_36;Franchise_71;MAKE UP BRUSH SINGLE;ACTIVE;SP18;01/02/2024;;01/02/2018
Material_ID_152;MAKE UP;Range_8;Nature_9;Sub_Brand_10;Franchise_72;CONCEALER;ACTIVE;SP19;01/09/2022;01/09/2022;01/02/2019
Material_ID_153;MAKE UP;Range_8;Nature_9;Sub_Brand_10;Franchise_72;CONCEALER;ACTIVE;SP19;01/09/2022;01/09/2022;01/02/2019
Material_ID_154;MAKE UP;Range_8;Nature_9;Sub_Brand_10;Franchise_72;CONCEALER;ACTIVE;SP19;01/09/2022;01/09/2022;01/02/2019
Material_ID_155;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_156;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_157;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_158;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;;;;;
Material_ID_159;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_160;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_161;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_162;MAKE UP;Range_8;Nature_9;Sub_Brand_10;Franchise_72;CONCEALER;ACTIVE;SP19;01/09/2022;01/09/2022;01/02/2019
Material_ID_163;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;;;;;
Material_ID_164;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_165;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;;;;;
Material_ID_166;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_167;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_168;MAKE UP;Range_8;Nature_9;Sub_Brand_10;Franchise_72;CONCEALER;ACTIVE;SP19;01/09/2022;01/09/2022;01/02/2019
Material_ID_169;SKINCARE;Range_12;Nature_19;Sub_Brand_35;Franchise_68;MOISTURIZERS;;;;;
Material_ID_170;MAKE UP;Range_8;Nature_9;Sub_Brand_10;Franchise_72;CONCEALER;ACTIVE;SP19;01/09/2022;01/09/2022;01/02/2019
Material_ID_171;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_172;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_173;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_174;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_175;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_176;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_177;MAKE UP;Range_1;Nature_16;Sub_Brand_19;Franchise_74;NON WATERPROOF;ACTIVE;SUM18;01/02/2024;;01/02/2018
Material_ID_178;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_69;LIPSTICK;ACTIVE;SP18;01/02/2023;;01/02/2018
Material_ID_179;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_69;LIPSTICK;SPECIFIC;SP18;;;01/02/2018
Material_ID_180;MAKE UP;Range_6;Nature_6;Sub_Brand_6;Franchise_69;LIPSTICK;SPECIFIC;SP18;;;01/02/2018
Material_ID_181;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_182;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;;;;;
Material_ID_183;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;;;;;
Material_ID_184;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_185;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_186;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_187;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_188;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_189;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_190;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_191;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_192;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_193;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;;;;;
Material_ID_194;MAKE UP;Range_8;Nature_9;Sub_Brand_10;Franchise_72;CONCEALER;ACTIVE;SP19;01/09/2022;01/09/2022;01/02/2019
Material_ID_195;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_196;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_197;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_198;MAKE UP;Range_1;Nature_17;Sub_Brand_20;Franchise_31;MONO POUDRE;ACTIVE;SUM18;01/02/2024;;01/04/2018
Material_ID_199;MAKE UP;Range_9;Nature_18;Sub_Brand_21;Franchise_73;POLISH;ACTIVE;SUM18;01/02/2024;;01/04/2018
